industry_code,industry_name,sa2_code,sa2_name,0_to_50k_businesses,50k_to_200k_businesses,200k_to_2m_businesses,2m_to_5m_businesses,5m_to_10m_businesses,10m_or_more_businesses,total_businesses
industry_code,"Agriculture, Forestry and Fishing",119011354,Bass Hill - Georges Hall,4,0,3,0,0,0,6
industry_code,"Agriculture, Forestry and Fishing",119011355,Chullora,0,0,0,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119011356,Condell Park,3,3,3,0,0,0,11
industry_code,"Agriculture, Forestry and Fishing",119011358,Padstow,3,3,3,0,0,0,6
industry_code,"Agriculture, Forestry and Fishing",119011360,Revesby,0,3,0,0,0,0,0
industry_code,"Agriculture, Forestry and Fishing",119011361,Yagoona - Birrong,3,3,3,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119011571,Bankstown - North,3,0,0,3,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119011572,Bankstown - South,3,0,3,0,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119011655,Greenacre - North,0,3,0,0,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119011656,Greenacre - South,0,3,0,0,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119011657,Panania (North) - Milperra,0,3,0,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119011658,Panania (South) - Picnic Point,0,3,0,0,0,0,0
industry_code,"Agriculture, Forestry and Fishing",119021362,Belmore - Belfield,0,0,3,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119021366,Punchbowl,3,3,3,0,0,0,7
industry_code,"Agriculture, Forestry and Fishing",119021367,Roselands,3,0,0,0,0,0,5
industry_code,"Agriculture, Forestry and Fishing",119021573,Lakemba,3,3,3,0,0,0,6
industry_code,"Agriculture, Forestry and Fishing",119021574,Wiley Park,0,3,3,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119021659,Campsie - North,0,0,0,0,0,0,0
industry_code,"Agriculture, Forestry and Fishing",119021660,Campsie - South,0,0,0,0,0,0,0
industry_code,"Agriculture, Forestry and Fishing",119021661,Canterbury - South,0,3,0,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119021662,Earlwood,0,0,0,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119021663,Kingsgrove - North,3,0,0,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119031370,Narwee - Beverly Hills,3,0,0,0,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119031371,Oatley - Hurstville Grove,0,0,3,0,3,0,7
industry_code,"Agriculture, Forestry and Fishing",119031372,Peakhurst - Lugarno,3,3,3,0,0,0,9
industry_code,"Agriculture, Forestry and Fishing",119031373,Riverwood,0,0,0,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119031374,South Hurstville - Blakehurst,3,3,0,0,0,0,8
industry_code,"Agriculture, Forestry and Fishing",119031664,Hurstville - Central,0,0,3,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119031665,Hurstville - North,0,0,3,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119031666,Mortdale - Oatley,0,3,0,0,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119031667,Penshurst,0,0,3,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119041377,Kingsgrove (South) - Bardwell Park,7,0,3,0,0,0,11
industry_code,"Agriculture, Forestry and Fishing",119041378,Kogarah,0,3,4,0,0,0,6
industry_code,"Agriculture, Forestry and Fishing",119041379,Kogarah Bay - Carlton - Allawah,0,0,0,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119041380,Monterey - Brighton-le-Sands - Kyeemagh,3,3,0,0,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119041381,Rockdale - Banksia,0,4,0,0,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119041382,Sans Souci - Ramsgate,3,0,0,0,0,0,4
industry_code,"Agriculture, Forestry and Fishing",119041668,Arncliffe - Bardwell Valley,0,0,0,0,0,0,0
industry_code,"Agriculture, Forestry and Fishing",119041669,Bexley - North,0,0,0,0,0,0,3
industry_code,"Agriculture, Forestry and Fishing",119041670,Bexley - South,3,0,0,0,0,0,5
industry_code,"Agriculture, Forestry and Fishing",119041671,Wolli Creek,0,0,0,0,0,0,0
industry_code,Mining,119011354,Bass Hill - Georges Hall,0,0,0,0,0,0,3
industry_code,Mining,119011355,Chullora,0,0,0,0,0,0,0
industry_code,Mining,119011356,Condell Park,0,0,0,0,0,0,0
industry_code,Mining,119011358,Padstow,3,0,0,0,0,0,3
industry_code,Mining,119011360,Revesby,0,0,0,0,0,0,0
industry_code,Mining,119011361,Yagoona - Birrong,0,0,0,0,0,0,0
industry_code,Mining,119011571,Bankstown - North,3,3,0,0,0,0,3
industry_code,Mining,119011572,Bankstown - South,0,0,0,0,3,0,0
industry_code,Mining,119011655,Greenacre - North,0,0,0,0,0,3,0
industry_code,Mining,119011656,Greenacre - South,3,0,0,0,0,0,3
industry_code,Mining,119011657,Panania (North) - Milperra,0,0,0,0,0,0,0
industry_code,Mining,119011658,Panania (South) - Picnic Point,0,0,0,0,0,0,3
industry_code,Mining,119021362,Belmore - Belfield,0,0,0,0,0,0,0
industry_code,Mining,119021366,Punchbowl,0,0,0,0,0,0,0
industry_code,Mining,119021367,Roselands,0,0,0,0,0,0,0
industry_code,Mining,119021573,Lakemba,0,0,3,0,0,0,0
industry_code,Mining,119021574,Wiley Park,0,0,0,0,0,0,0
industry_code,Mining,119021659,Campsie - North,0,0,0,0,0,0,0
industry_code,Mining,119021660,Campsie - South,0,0,0,0,0,0,0
industry_code,Mining,119021661,Canterbury - South,0,0,0,0,0,0,0
industry_code,Mining,119021662,Earlwood,0,0,0,0,0,0,0
industry_code,Mining,119021663,Kingsgrove - North,0,0,0,3,0,0,0
industry_code,Mining,119031370,Narwee - Beverly Hills,0,0,0,0,0,0,0
industry_code,Mining,119031371,Oatley - Hurstville Grove,0,0,0,0,0,0,3
industry_code,Mining,119031372,Peakhurst - Lugarno,0,0,0,0,0,0,0
industry_code,Mining,119031373,Riverwood,3,0,0,0,0,0,3
industry_code,Mining,119031374,South Hurstville - Blakehurst,0,0,3,0,0,0,0
industry_code,Mining,119031664,Hurstville - Central,0,0,0,0,0,0,0
industry_code,Mining,119031665,Hurstville - North,0,0,0,0,0,0,0
industry_code,Mining,119031666,Mortdale - Oatley,0,0,0,0,0,0,0
industry_code,Mining,119031667,Penshurst,0,0,0,0,0,0,0
industry_code,Mining,119041377,Kingsgrove (South) - Bardwell Park,0,0,0,0,0,0,0
industry_code,Mining,119041378,Kogarah,0,0,0,0,0,0,0
industry_code,Mining,119041379,Kogarah Bay - Carlton - Allawah,0,0,0,0,0,0,0
industry_code,Mining,119041380,Monterey - Brighton-le-Sands - Kyeemagh,3,0,0,0,0,0,3
industry_code,Mining,119041381,Rockdale - Banksia,3,0,0,0,0,0,3
industry_code,Mining,119041382,Sans Souci - Ramsgate,3,0,0,0,0,0,0
