sa2_code,sa2_name,0-4_people,5-9_people,10-14_people,15-19_people,20-24_people,25-29_people,30-34_people,35-39_people,40-44_people,45-49_people,50-54_people,55-59_people,60-64_people,65-69_people,70-74_people,75-79_people,80-84_people,85-and-over_people,total_people
119011354,Bass Hill - Georges Hall,1773,1956,1915,1742,1558,1482,1464,1490,1489,1428,1376,1265,1198,983,941,768,502,636,23966
119011355,Chullora,142,108,88,93,119,147,169,157,106,74,71,72,44,48,27,6,9,0,1480
119011356,Condell Park,933,1074,1012,970,903,872,817,885,809,777,702,691,605,540,430,340,225,210,12795
119011358,Padstow,955,1004,963,1028,1096,1057,1171,1203,1042,1086,1141,1207,1138,832,710,547,438,596,17214
119011360,Revesby,1132,1140,1122,1089,1140,1141,1294,1298,1151,1146,1055,1065,1070,827,663,455,367,555,17710
119011361,Yagoona - Birrong,1716,1614,1576,1530,1658,1596,1651,1529,1271,1378,1260,1324,1300,1029,799,533,359,457,22580
119011571,Bankstown - North,1490,1193,968,896,1212,1522,1632,1453,1066,999,884,939,867,643,485,314,233,254,17050
119011572,Bankstown - South,1359,1177,1063,1060,1482,1874,1560,1402,1094,1069,980,1007,978,751,557,400,305,382,18500
119011655,Greenacre - North,1055,1079,1233,1153,1010,1025,857,902,907,862,856,835,765,667,491,384,287,330,14698
119011656,Greenacre - South,975,1189,1206,1057,987,864,782,913,827,790,747,725,670,507,449,294,256,206,13444
119011657,Panania (North) - Milperra,780,782,736,756,684,682,760,786,778,796,726,713,627,524,482,378,222,157,11369
119011658,Panania (South) - Picnic Point,938,1127,1144,1068,926,844,954,1153,1100,1171,1055,1023,966,764,684,422,326,347,16012
119021362,Belmore - Belfield,1155,1158,1177,1167,1350,1509,1505,1428,1333,1360,1394,1320,1131,900,858,626,538,496,20405
119021366,Punchbowl,1500,1566,1556,1507,1731,1857,1558,1472,1355,1233,1276,1214,1120,879,689,495,376,305,21689
119021367,Roselands,943,971,1011,941,908,977,924,976,995,965,986,900,771,616,582,445,306,368,14585
119021573,Lakemba,1648,1512,1124,800,1067,1721,1776,1496,1301,861,763,734,644,539,388,329,223,302,17228
119021574,Wiley Park,941,832,628,519,703,1096,1017,924,707,507,491,481,399,325,253,175,117,92,10207
119021659,Campsie - North,524,455,479,516,1082,1156,1120,977,794,850,843,782,672,554,375,252,235,264,11930
119021660,Campsie - South,441,391,321,318,859,967,992,824,629,558,598,588,481,388,270,188,139,155,9107
119021661,Canterbury - South,851,601,511,526,841,1205,1423,1134,789,776,711,689,579,425,365,307,250,285,12268
119021662,Earlwood,867,975,1166,1102,985,897,962,1118,1148,1461,1394,1209,1051,837,848,724,635,609,17988
119021663,Kingsgrove - North,384,421,448,368,353,286,339,422,478,433,439,372,308,295,286,246,191,197,6266
119031370,Narwee - Beverly Hills,754,731,771,701,878,1022,960,1029,869,868,869,930,830,745,626,413,372,449,13817
119031371,Oatley - Hurstville Grove,597,774,836,750,810,667,636,780,813,931,880,869,875,714,608,458,288,299,12585
119031372,Peakhurst - Lugarno,1099,1232,1268,1307,1208,1043,1172,1223,1293,1373,1334,1325,1217,982,995,828,622,740,20261
119031373,Riverwood,580,595,589,562,812,923,908,888,679,675,699,774,754,660,536,392,336,276,11638
119031374,South Hurstville - Blakehurst,1140,1368,1401,1387,2360,2264,1842,1603,1495,1529,1633,1677,1444,1194,1055,755,551,701,25399
119031664,Hurstville - Central,617,567,428,368,1593,1911,1547,1090,670,546,486,500,535,465,278,187,172,183,12143
119031665,Hurstville - North,499,607,640,709,976,968,844,813,682,725,801,881,755,667,519,393,298,346,12123
119031666,Mortdale - Oatley,820,964,875,812,908,940,957,1157,1070,1012,918,924,906,773,620,415,261,383,14715
119031667,Penshurst,527,500,384,445,768,928,893,776,594,575,512,612,560,463,355,237,191,236,9556
119041377,Kingsgrove (South) - Bardwell Park,708,742,771,765,788,734,832,861,844,970,831,881,744,670,587,481,372,410,12991
119041378,Kogarah,807,694,551,485,941,1422,1525,1346,939,746,659,598,557,425,385,322,269,446,13117
119041379,Kogarah Bay - Carlton - Allawah,846,826,882,814,1194,1339,1310,1264,1057,1002,1055,1044,945,759,639,483,353,425,16237
119041380,Monterey - Brighton-le-Sands - Kyeemagh,693,714,625,664,693,844,939,1049,1006,1017,1032,977,751,737,719,559,479,411,13909
119041381,Rockdale - Banksia,1154,876,793,751,1876,2233,2320,1910,1288,1090,1071,968,942,757,666,492,374,427,19988
119041382,Sans Souci - Ramsgate,936,899,882,857,739,871,1024,1110,1041,1192,1235,1144,1086,895,928,720,575,535,16669
119041668,Arncliffe - Bardwell Valley,1002,861,833,805,1198,1862,1983,1506,1093,967,881,860,690,589,526,381,311,303,16651
119041669,Bexley - North,631,657,694,616,653,573,659,714,636,663,620,611,575,495,428,296,270,370,10161
119041670,Bexley - South,926,849,772,736,1189,1369,1400,1229,1090,968,901,937,853,722,656,467,371,439,15874
119041671,Wolli Creek,549,203,96,182,1435,2598,2454,1333,615,351,254,228,214,153,102,62,26,6,10861
