sa2_code21,sa2_name21,poi_count
119011354,Bass Hill - Georges Hall,3.0
119011355,Chullora,0.0
119011356,Condell Park,0.0
119011358,Padstow,0.0
119011360,Revesby,0.0
119011361,Yagoona - Birrong,0.0
119011571,Bankstown - North,0.0
119011572,Bankstown - South,0.0
119011655,Greenacre - North,0.0
119011656,Greenacre - South,0.0
119011657,Panania (North) - Milperra,0.0
119011658,Panania (South) - Picnic Point,0.0
119021362,Belmore - Belfield,0.0
119021366,Punchbowl,0.0
119021367,Roselands,0.0
119021573,Lakemba,0.0
119021574,Wiley Park,0.0
119021659,Campsie - North,0.0
119021660,Campsie - South,0.0
119021661,Canterbury - South,0.0
119021662,Earlwood,0.0
119021663,Kingsgrove - North,0.0
119031370,Narwee - Beverly Hills,0.0
119031371,Oatley - Hurstville Grove,0.0
119031372,Peakhurst - Lugarno,0.0
119031373,Riverwood,0.0
119031374,South Hurstville - Blakehurst,0.0
119031664,Hurstville - Central,0.0
119031665,Hurstville - North,0.0
119031666,Mortdale - Oatley,0.0
119031667,Penshurst,0.0
119041377,Kingsgrove (South) - Bardwell Park,0.0
119041378,Kogarah,0.0
119041379,Kogarah Bay - Carlton - Allawah,0.0
119041380,Monterey - Brighton-le-Sands - Kyeemagh,0.0
119041381,Rockdale - Banksia,0.0
119041382,Sans Souci - Ramsgate,0.0
119041668,Arncliffe - Bardwell Valley,0.0
119041669,Bexley - North,0.0
119041670,Bexley - South,0.0
119041671,Wolli Creek,0.0
