sa2_code21,sa2_name21,poi_count
125011582,Auburn - Central,3.0
125011583,Auburn - North,0.0
125011584,Auburn - South,0.0
125011585,Berala,0.0
125011586,Lidcombe,0.0
125011587,Regents Park,0.0
125011709,Silverwater - Newington,0.0
125011710,Wentworth Point - Sydney Olympic Park,0.0
125021477,Ermington - Rydalmere,0.0
125021478,Oatlands - Dundas Valley,0.0
125021711,Carlingford - East,0.0
125021712,Carlingford - West,0.0
125031479,Chester Hill - Sefton,0.0
125031480,Fairfield - East,0.0
125031481,Granville - Clyde,0.0
125031483,Guildford - South Granville,0.0
125031484,Guildford West - Merrylands West,0.0
125031713,Greystanes - South,0.0
125031714,Merrylands - Holroyd,0.0
125031715,Pemulwuy - Greystanes (North),0.0
125031716,South Wentworthville,0.0
125041489,North Parramatta,0.0
125041490,North Rocks,0.0
125041491,Northmead,0.0
125041493,Toongabbie - Constitution Hill,0.0
125041494,Winston Hills,0.0
125041588,Pendle Hill - Girraween,0.0
125041589,Wentworthville - Westmead,0.0
125041717,Parramatta - North,0.0
125041718,Parramatta - South,0.0
125041719,Rosehill - Harris Park,0.0
