sa2_code21,sa2_name21,poi_count
119011354,Bass Hill - Georges Hall,467.0
119011355,Chullora,261.0
119011356,Condell Park,214.0
119011358,Padstow,191.0
119011360,Revesby,59.0
119011361,Yagoona - Birrong,28.0
119011571,Bankstown - North,36.0
119011572,Bankstown - South,11.0
119011655,Greenacre - North,83.0
119011656,Greenacre - South,35.0
119011657,Panania (North) - Milperra,69.0
119011658,Panania (South) - Picnic Point,5.0
119021362,Belmore - Belfield,317.0
119021366,Punchbowl,29.0
119021367,Roselands,38.0
119021573,Lakemba,0.0
119021574,Wiley Park,0.0
119021659,Campsie - North,71.0
119021660,Campsie - South,5.0
119021661,Canterbury - South,181.0
119021662,Earlwood,578.0
119021663,Kingsgrove - North,35.0
119031370,Narwee - Beverly Hills,96.0
119031371,Oatley - Hurstville Grove,250.0
119031372,Peakhurst - Lugarno,67.0
119031373,Riverwood,0.0
119031374,South Hurstville - Blakehurst,420.0
119031664,Hurstville - Central,9.0
119031665,Hurstville - North,0.0
119031666,Mortdale - Oatley,0.0
119031667,Penshurst,0.0
119041377,Kingsgrove (South) - Bardwell Park,62.0
119041378,Kogarah,133.0
119041379,Kogarah Bay - Carlton - Allawah,15.0
119041380,Monterey - Brighton-le-Sands - Kyeemagh,21.0
119041381,Rockdale - Banksia,1.0
119041382,Sans Souci - Ramsgate,29.0
119041668,Arncliffe - Bardwell Valley,116.0
119041669,Bexley - North,0.0
119041670,Bexley - South,0.0
119041671,Wolli Creek,1.0
