sa2_code21,sa2_name21,poi_count
122011418,Balgowlah - Clontarf - Seaforth,503.0
122011419,Manly - Fairlight,105.0
122021420,Avalon - Palm Beach,272.0
122021421,Bayview - Elanora Heights,720.0
122021422,Newport - Bilgola,9.0
122021690,Mona Vale - Warriewood (North),0.0
122021691,North Narrabeen - Warriewood (South),7.0
122031424,Beacon Hill - Narraweena,208.0
122031425,Cromer,58.0
122031427,Forestville - Killarney Heights,279.0
122031429,Freshwater - Brookvale,24.0
122031430,Manly Vale - Allambie Heights,0.0
122031432,Terrey Hills - Duffys Forest,155.0
122031692,Belrose,46.0
122031693,Collaroy - Collaroy Plateau,32.0
122031694,Dee Why (South) - North Curl Curl,0.0
122031695,Dee Why - North,0.0
122031696,Frenchs Forest - Oxford Falls,42.0
122031697,Narrabeen - Wheeler Heights,0.0
